code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
QZF,OAG,Font Romeu Bus Station,42.51667,2.05,100,t,NULL,5,en-us,f,NULL,f,NULL
QZM,OAG,Bullocks Flat Bus Station,-36.36667,148.6,1000,t,NULL,5,en-us,f,NULL,f,NULL
RNW,OAG,Ringwood Bus Station,50.84694,-1.79139,0,t,NULL,5,en-us,f,NULL,t,NULL
RRB,OAG,Rabat AT Bus Station,34.01694,-6.835,0,t,NULL,5,en-us,f,NULL,f,NULL
RUJ,OAG,Riyadh SAPTCO Olaya Bus Station,24.59583,46.74833,300,t,NULL,5,en-us,f,NULL,t,NULL
RZG,OAG,Zaragoza Bus Station,41.65917,-0.91111,100,t,NULL,5,en-us,f,NULL,t,NULL
SAJ,OAG,Salamanca Bus Station,40.97028,-5.67528,100,t,NULL,5,en-us,f,NULL,t,NULL
SDA,OAG,Saarbruecken Dudweilerstrasse Bus Station,49.2775,7.02722,100,t,NULL,5,en-us,f,NULL,f,NULL
TCV,OAG,Tres Cruces Bus Station,-22.91833,-63.585,-300,t,NULL,5,en-us,f,NULL,f,NULL
THJ,OAG,Taishan Bus Station,22.25667,112.77639,800,t,NULL,5,en-us,f,NULL,f,NULL
TJJ,OAG,Tainjin Bus Station,39.14611,117.22556,800,t,NULL,5,en-us,f,NULL,f,NULL
TTY,OAG,Taunton Bus Station,51.01528,-3.10583,0,t,NULL,5,en-us,f,NULL,t,NULL
VBT,OAG,Vigo Bus Station,42.22417,-8.70944,100,t,NULL,5,en-us,f,NULL,f,NULL
VDT,OAG,Montevideo Bus Station,-34.89361,-56.16667,-300,t,NULL,5,en-us,f,NULL,f,NULL
VNL,OAG,Vinales Bus Station,22.61389,-83.7125,-500,t,NULL,5,en-us,f,NULL,f,NULL
VRD,OAG,Radom Bus Station,51.3925,21.15722,100,t,NULL,5,en-us,f,NULL,f,NULL
VTI,OAG,Vitoria Bus Station,42.84972,-2.66583,100,t,NULL,5,en-us,f,NULL,t,NULL
WNC,OAG,Winchester Bus Station,51.06111,-1.31,0,t,NULL,5,en-us,f,NULL,t,NULL
XAJ,OAG,Hirtshals Bus Station,57.58694,9.96056,100,t,NULL,5,en-us,f,NULL,f,NULL
XAQ,OAG,Broenderslev Bus Station,57.26667,9.96667,100,t,NULL,5,en-us,f,NULL,f,NULL
XBW,OAG,Abu Dhabi NP Bus Station,24.48806,54.36417,400,t,NULL,5,en-us,f,NULL,t,NULL
XER,OAG,Strasbourg Bus Station,48.58528,7.73556,100,t,t,5,en-us,f,50bb52fb-26aa-4e87-ab29-35c9e781690b,t,NULL
XET,OAG,Karlsruhe/Baden-Baden Karlsruhe Bus Station,48.99167,8.40056,100,t,NULL,5,en-us,f,NULL,f,NULL
XEU,OAG,Dubai Hyatt Rgncy EY Bus Station,25.27889,55.30417,400,t,NULL,5,en-us,f,NULL,f,NULL
XEX,OAG,Paris Aerogare des Invalides Bus Station,48.86667,2.33333,100,t,NULL,5,en-us,f,NULL,f,NULL
XGB,OAG,Paris Montparnasse Bus Station,48.86667,2.33333,100,t,NULL,5,en-us,f,NULL,f,NULL
XGE,OAG,Ottawa Bus Station,45.40889,-75.695,-500,t,NULL,5,en-us,f,NULL,f,NULL
XGQ,OAG,Saariselka Bus Station,68.65,28.48333,200,t,NULL,5,en-us,f,NULL,f,NULL
XGX,OAG,Levi Bus Station,67.78333,28.48333,200,t,NULL,5,en-us,f,NULL,f,NULL
XHA,OAG,Yllasjarvi Bus Station,67.51667,24.3,200,t,NULL,5,en-us,f,NULL,f,NULL
XHB,OAG,Dubai NP Bus Station,25.16778,55.22194,400,t,NULL,5,en-us,f,NULL,t,NULL
XHC,OAG,Akaslompolo Bus Station,67.6,29.16667,200,t,NULL,5,en-us,f,NULL,f,NULL
XHD,OAG,Ruka Bus Station,66.15,29.16667,200,t,NULL,5,en-us,f,NULL,f,NULL
XHG,OAG,Ottawa Bus Station,45.86667,-75.71667,-500,t,NULL,5,en-us,f,NULL,f,NULL
XHH,OAG,Boulder Bus Station,39.90972,-104.1175,-700,t,NULL,5,en-us,f,NULL,f,NULL
XHI,OAG,Herzogenaurach Bus Station,49.06667,10.9,100,t,NULL,5,en-us,f,NULL,f,NULL
XHO,OAG,Dongguan City Bus Station,23.05,114.08333,800,t,NULL,5,en-us,f,NULL,f,NULL
XHQ,OAG,Artvin Hopa Bus Station,41.40972,41.4325,300,t,NULL,5,en-us,f,NULL,f,NULL
XHV,OAG,Brasov Bus Station,45.66361,25.62944,200,t,NULL,5,en-us,f,NULL,t,NULL
XJB,OAG,Barcelona Bus Station,41.41944,2.16667,100,t,NULL,5,en-us,f,NULL,f,NULL
XJF,OAG,Falun Bus Station,60.5,15.63333,100,t,f,5,en-us,f,682d5dd9-0d10-4f0a-ad2b-4aca80ef99fe,f,NULL
XJJ,OAG,Albacete Bus Station,38.99778,-1.84639,100,t,NULL,5,en-us,f,NULL,t,NULL
XJK,OAG,Klaipeda/Palanga Bus Station,55.7,21.13333,200,t,NULL,5,en-us,f,NULL,f,NULL
XJN,OAG,Valladolid Bus Station,41.64139,-4.73333,100,t,NULL,5,en-us,f,NULL,t,NULL
XJO,OAG,Soria Bus Station,41.76694,-2.47944,100,t,NULL,5,en-us,f,NULL,t,NULL
XJR,OAG,Lorca Bus Station,37.67111,-1.69667,100,t,NULL,5,en-us,f,NULL,t,NULL
XJU,OAG,Burgos Bus Station,42.33778,-3.70111,100,t,NULL,5,en-us,f,NULL,t,NULL
XMB,OAG,Dubai Marina Mall EY Bus Station,25.07611,55.14111,400,t,f,5,en-us,f,1db32654-7c0f-4c6b-a5bc-fe3c877f44da,t,NULL
XNB,OAG,Dubai Travel Mall EY Bus Station,25.29306,55.58806,400,t,f,5,en-us,f,1db32654-7c0f-4c6b-a5bc-fe3c877f44da,t,NULL
XNR,OAG,Aabenraa Bus Station,55.03333,9.43333,100,t,NULL,5,en-us,f,NULL,f,NULL
XOA,OAG,Aalbaek Bus Station,57.59556,10.40944,100,t,NULL,5,en-us,f,NULL,f,NULL
XOH,OAG,Kitzbuehel Bus Station,47.44806,12.38917,100,t,NULL,5,en-us,f,NULL,f,NULL
XOI,OAG,Ischgl Bus Station,47.01167,10.29083,100,t,NULL,5,en-us,f,NULL,f,NULL
XOO,OAG,Soelden Bus Station,46.96778,11.00694,100,t,NULL,5,en-us,f,NULL,f,NULL
XOV,OAG,St Anton Bus Station,47.13139,10.26944,100,t,NULL,5,en-us,f,NULL,f,NULL
XOW,OAG,Seefeld Bus Station,47.32861,11.18639,100,t,NULL,5,en-us,f,NULL,f,NULL
XPY,OAG,Pyha Bus Station,61.01667,27.15,200,t,NULL,5,en-us,f,NULL,f,NULL
XQS,OAG,Sotkamo Bus Station,64.13333,28.4,200,t,NULL,5,en-us,f,NULL,f,NULL
XRA,OAG,Graasten Bus Station,54.91667,9.6,100,t,NULL,5,en-us,f,NULL,f,NULL
XTP,OAG,Tampere Bus Station,61.49278,23.76944,200,t,NULL,5,en-us,f,NULL,f,NULL
XTT,OAG,Paris Arc de Triomphe Bus Station,48.86667,2.33333,100,t,NULL,5,en-us,f,NULL,f,NULL
