code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
AEH,OAG,Abeche,13.8475,20.84444,100,t,t,2,en-us,f,9f1bfc0b-e3c3-474e-ae4e-22b355cb7bbf,f,f
AEK,OAG,Aseki,-7.36667,146.28333,1000,t,NULL,3,en-us,f,NULL,f,f
AEL,OAG,Albert Lea,43.68333,-93.36667,-600,t,f,9,en-us,f,7b29ceb3-af2d-43b7-997c-062e43ee886a,f,f
AEO,OAG,Aioun el Atrouss,16.7,-9.65,0,t,f,9,en-us,f,a352a0ba-c5ef-4e4f-92f9-ec3d5bfe3c8c,f,f
AEP,OAG,Buenos Aires Jorge Newbery Airport,-34.55889,-58.41639,-300,t,t,2,en-us,f,1c98f6c7-a9d9-4b2b-af73-89e70a6f0990,t,f
AER,OAG,Sochi Airport,43.45,39.95667,300,t,t,2,en-us,f,8b37387e-bf98-4090-a5c3-bda32f042ffd,t,f
AES,OAG,Alesund Airport,62.56028,6.11028,100,t,t,2,en-us,f,e727cfc2-adb4-4e39-9f62-2e9caec878a3,t,f
AET,OAG,Allakaket Airport,66.55056,-152.63194,-900,t,t,2,en-us,f,5e774c3d-9308-468e-a00f-a46eb755ca8a,t,f
AEU,OAG,Abu Musa Island,25.87556,55.0325,330,t,NULL,3,en-us,f,NULL,f,f
AEX,OAG,Alexandria Intl Airport,31.3275,-92.54972,-600,t,t,2,en-us,f,37bfe956-ede4-4a44-8d48-fcbc90ff8ba6,t,f
AEY,OAG,Akureyri Airport,65.65861,-18.07222,0,t,t,2,en-us,f,aea0678b-3800-4eb0-81a9-db363872e015,t,f
AFA,OAG,San Rafael Airport,-34.58861,-68.40278,-300,t,t,3,en-us,f,2d183e7e-650f-462c-8984-12312374250d,t,f
AFD,OAG,Port Alfred,-33.58333,26.88333,200,t,NULL,3,en-us,f,NULL,f,f
AFF,OAG,Colorado Springs USAF Academy Airfield,39,-104.75,-700,t,NULL,3,en-us,f,NULL,f,f
AFI,OAG,Amalfi,6.91667,-75.06667,-500,t,NULL,3,en-us,f,NULL,f,f
AFK,OAG,Ampara,7.29194,81.63528,530,t,f,9,en-us,f,8b7eb453-3667-42f9-9e7c-e13fc0b9d286,f,f
AFL,OAG,Alta Floresta Airport,-9.86611,-56.10611,-400,t,t,2,en-us,f,d7b69acb-102f-4a9a-b552-543b20376d04,t,f
AFN,OAG,Jaffrey,42.8,-72,-500,t,NULL,3,en-us,f,NULL,f,f
AFO,OAG,Afton,42.71667,-110.93333,-700,t,NULL,3,en-us,f,NULL,f,f
AFR,OAG,Afore,-9.13333,148.38333,1000,t,NULL,3,en-us,f,NULL,f,f
AFS,OAG,Zarafshan,41.61583,64.23306,500,t,t,2,en-us,f,ba420ee5-3abc-48ce-9793-491e8c1d4f91,f,f
AFT,OAG,Afutara Airport,-9.19111,160.94917,1100,t,t,2,en-us,f,960fc171-b8d0-4dee-a766-3f3f2c5a9417,t,f
AFW,OAG,Fort Worth Alliance,32.98333,-97.31667,-600,t,NULL,3,en-us,f,NULL,f,f
AFY,OAG,Afyon,38.73333,30.6,300,t,NULL,3,en-us,f,NULL,f,f
AFZ,OAG,Sabzevar Airport,36.16861,57.59639,330,t,t,2,en-us,f,9123ffcf-ac48-4b72-9327-79227227f3ba,t,f
AGA,OAG,Agadir Airport,30.325,-9.41306,0,t,t,2,en-us,f,bc64d894-17c4-44e1-b29d-c7ef3b3823e0,t,f
AGB,OAG,Munich Augsburg Airport,48.42528,10.93167,100,t,t,2,en-us,f,2a6b32e7-b1ca-4418-8c1d-d8b038d09b5a,t,f
AGC,OAG,Pittsburgh Allegheny County Airport,40.35444,-79.92972,-500,t,t,3,en-us,f,ba3a9d77-958b-4bbd-a32c-5a579b1cc391,t,f
AGD,OAG,Anggi,-1.38333,133.86667,900,t,NULL,3,en-us,f,NULL,f,f
AGE,OAG,Wangerooge,53.78722,7.91583,100,t,f,9,en-us,f,cb12179d-4e80-4d70-adfd-07f6e2543118,f,f
AGF,OAG,Agen Airport,44.17472,0.59056,100,t,t,2,en-us,f,ad218204-a8e8-477e-96a9-32d285932afd,t,f
AGG,OAG,Angoram,-4.06667,144.1,1000,t,NULL,3,en-us,f,NULL,f,f
AGH,OAG,Angelholm/Helsingborg Airport,56.29611,12.84722,100,t,t,1,en-us,f,335abc91-b37f-4937-b7ce-c7ed3a7745ff,t,f
AGI,OAG,Wageningen,5.76667,-56.68333,-300,t,NULL,3,en-us,f,NULL,f,f
AGJ,OAG,Aguni,26.58333,127.25,900,t,f,9,en-us,f,460a2cba-a238-42d0-9b87-01dad770e5f4,f,f
AGK,OAG,Kagua,-6.33333,143.83333,1000,t,NULL,3,en-us,f,NULL,f,f
AGL,OAG,Wanigela,-9.33333,149.15,1000,t,f,9,en-us,f,2f5da773-81ff-41f9-b486-055f53ffbd18,f,f
AGM,OAG,Tasiilaq Airport,65.6125,-37.61861,-300,t,t,2,en-us,f,c33a471a-9ab3-444d-a906-16717e35fbd5,t,f
AGN,OAG,Angoon Airport,57.495,-134.56722,-900,t,t,2,en-us,f,91dac219-7ad1-49eb-b048-e5163f2ba8b0,t,f
AGO,OAG,Magnolia,33.23333,-93.21667,-600,t,f,9,en-us,f,502a1d8a-a997-4377-99f8-50c2b811028f,f,f
AGP,OAG,Malaga Airport,36.675,-4.49917,100,t,t,1,en-us,f,24fac59b-43e2-420c-98ee-8a5079811e3f,t,f
AGQ,OAG,Agrinion,38.60194,21.35111,200,t,NULL,3,en-us,f,NULL,f,f
AGR,OAG,Agra Airport,27.15583,77.96083,530,t,t,1,en-us,f,5d40f654-b7f5-4198-87ce-34d910959d8f,t,f
AGS,OAG,Augusta Regional Airport (Bush Field),33.37,-81.96444,-500,t,t,1,en-us,f,64a61c78-b0ce-4a01-aa90-7ab37f526edb,t,f
AGT,OAG,Ciudad del Este Airport,-25.45556,-54.84361,-400,t,t,1,en-us,f,2a647700-861f-4942-bbdf-7721724f084c,t,f
AGU,OAG,Aguascalientes Airport,21.70556,-102.31778,-600,t,t,2,en-us,f,f1a0bda8-3ea5-4957-81a6-76962c0818e0,t,f
AGV,OAG,Acarigua,9.55,-69.23333,-400,t,f,9,en-us,f,6f6ad015-c5f9-40d5-81f9-949ba9be3cd1,f,f
AGW,OAG,Agnew,-12.15,142.15,1000,t,NULL,3,en-us,f,NULL,f,f
AGX,OAG,Agatti Island Airport,10.82361,72.17611,530,t,t,2,en-us,f,3300dc2e-5389-4f37-914a-304bd22e8e7b,t,f
AGZ,OAG,Aggeneys,-29.28333,18.81667,200,t,f,9,en-us,f,c23cd7d3-a5b0-43a8-a5c6-27fb3c59ed17,f,f
AHB,OAG,Abha Airport,18.24028,42.65667,300,t,t,2,en-us,f,11570cc8-0043-476e-9cab-308b54b4932b,t,f
AHC,OAG,Herlong,40.15,-120.13333,-800,t,NULL,3,en-us,f,NULL,f,f
AHD,OAG,Ardmore Downtown Executive Airport,34.16667,-97.13333,-600,t,NULL,3,en-us,f,NULL,f,f
AHE,OAG,Ahe Airport,-14.42806,-146.25694,-1000,t,t,2,en-us,f,76426e1e-9814-46da-a3ae-f76c60285042,t,f
AHF,OAG,Arapahoe,40.33333,-99.9,-600,t,NULL,3,en-us,f,NULL,f,f
AHH,OAG,Amery,45.28333,-92.36667,-600,t,NULL,3,en-us,f,NULL,f,f
AHI,OAG,Amahai,-3.33333,128.91667,900,t,f,9,en-us,f,1cb0dfaa-851b-4062-98de-1e29c4c03884,f,f
AHJ,OAG,Aba Hongyuan,32.53139,102.35194,800,t,NULL,3,en-us,f,NULL,f,f
AHL,OAG,Aishalton,2.48333,-59.31667,-400,t,NULL,3,en-us,f,NULL,f,f
