code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
CRN,TTX,Amtrak (Creston),41.057083,-94.361198,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CRT,TTX,Amtrak (Croton-Harmon),41.192729,-73.883842,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CRV,TTX,Amtrak (Carlinville),39.279327,-89.888916,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CSN,TTX,Amtrak (Clemson),34.691177,-82.83348,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CSV,TTX,Amtrak (Crestview),30.757587,-86.56903,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CSW,TTX,Amtrak (Cashmere),47.5223,-120.47,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CTG,TTX,Amtrak (Cottage Grove),43.80474,-123.056396,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CTH,TTX,Amtrak (Chatham),42.40237,-82.185043,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CTJ,OAG,Caserta Rail Station,41.06889,14.32833,100,t,NULL,NULL,en-us,f,NULL,f,NULL
CTL,TTX,Amtrak (Centralia),46.717422,-122.951881,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CTN,TTX,Amtrak (Canton),32.61481,-90.040519,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CTV,TTX,Amtrak (Clintonville),44.622127,-88.760154,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CUM,TTX,Amtrak (Cumberland),39.650585,-78.758476,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CUT,TTX,Amtrak (Cut Bank),48.63694,-112.330024,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
CVD,TTX,Amtrak (Camp Verde),34.625778,-111.880638,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
CVI,TTX,Amtrak (Corvallis),44.565238,-123.260597,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CVS,TTX,Amtrak (Charlottesville),38.032032,-78.492111,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CWB,TTX,Amtrak (Clearwater Beach),27.977247,-82.827781,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CWH,TTX,Amtrak (Cornwells Heights),40.071891,-74.950805,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CWT,TTX,Amtrak (Chatsworth),34.257118,-118.598731,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CWY,TTX,Amtrak (Conway),33.835124,-79.04673,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CXE,OAG,Chester Central Rail Station,53.19694,-2.87972,0,t,NULL,NULL,en-us,f,NULL,f,NULL
CXX,OAG,Carlisle Central Rail Station,54.89056,-2.93333,0,t,NULL,NULL,en-us,f,NULL,t,NULL
CYN,TTX,Amtrak (Cary),35.787708,-78.779678,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
